anzahl;vorname;geschlecht;position
51;Marie;w;2
47;Sophie;w;2
46;Mia;w;1
41;Emil;m;1
41;Henry;m;1
35;Charlotte;w;1
35;Emilia;w;1
34;Oskar;m;1
33;Paul;m;1
32;Emma;w;1
31;Ben;m;1
30;Alexander;m;2
30;Alexander;m;1
30;Anton;m;1
30;Noah;m;1
29;Finn;m;1
29;Liam;m;1
27;Charlotte;w;2
27;Maria;w;2
26;Ella;w;1
26;Leon;m;1
25;Lina;w;1
25;Felix;m;1
24;Lukas;m;1
24;Maximilian;m;1
23;Mathilda;w;1
23;Nora;w;1
23;Moritz;m;1
22;Theodor;m;1
21;Elisabeth;w;2
21;Karl;m;1
21;Leonard;m;1
21;Theo;m;1
20;Hanna;w;1
20;Leo;m;1
20;Louis;m;1
20;Matteo;m;1
20;Milan;m;1
19;Anna;w;1
19;Emily;w;1
19;Ida;w;1
19;Elias;m;1
19;Levi;m;1
19;Linus;m;1
19;Luca;m;1
18;Maximilian;m;2
18;Hannah;w;1
18;Lea;w;1
18;Lia;w;1
18;Mina;w;1
18;Sophia;w;1
17;Johanna;w;1
17;Paula;w;1
17;Niklas;m;1
16;Emil;m;2
16;Luise;w;2
16;Alma;w;1
16;Amelie;w;1
16;Marie;w;1
16;Sophie;w;1
16;Adam;m;1
15;Emilia;w;2
15;Lara;w;1
15;Lena;w;1
15;Lilly;w;1
15;David;m;1
14;Paul;m;2
14;Johanna;w;2
14;Laura;w;1
14;Luna;w;1
14;Maja;w;1
14;Matilda;w;1
14;Jakob;m;1
14;Merle;w;1
14;Max;m;1
14;Mila;w;1
14;Mika;m;1
14;Milo;m;1
13;Johann;m;2
13;Frieda;w;1
13;Helena;w;1
13;Lio;m;1
13;Mira;w;1
13;Nele;w;1
12;Benjamin;m;2
12;Elias;m;2
12;Bruno;m;1
12;Edgar;m;1
12;Clara;w;1
12;Fiete;m;1
12;Leonie;w;1
12;Jan;m;1
12;Luise;w;1
12;Johann;m;1
12;Paulina;w;1
12;Jonas;m;1
12;Jonathan;m;1
12;Lennard;m;1
12;Pepe;m;1
12;Valentin;m;1
12;Vincent;m;1
11;Friedrich;m;2
11;Louis;m;2
11;Sophia;w;2
11;Alina;w;1
11;Amalia;w;1
11;Elena;w;1
11;Mara;w;1
11;Marlene;w;1
11;Pauline;w;1
11;Aaron;m;1
11;Ronja;w;1
11;Adrian;m;1
11;Yuna;w;1
11;Arthur;m;1
11;Daniel;m;1
10;Theodor;m;2
10;Alva;w;1
10;Elina;w;1
10;Emilio;m;1
10;Freya;w;1
10;Jona;m;1
10;Frida;w;1
10;Jonah;m;1
10;Julia;w;1
10;Julian;m;1
10;Leni;w;1
10;Leopold;m;1
10;Lisa;w;1
10;Matheo;m;1
10;Maya;w;1
10;Maxim;m;1
10;Zoe;w;1
10;Tim;m;1
9;Grace;w;2
9;Finn;m;2
9;Marlene;w;2
9;Jakob;m;2
9;Oliver;m;2
9;Elisa;w;1
9;Gustav;m;1
9;Lotta;w;1
9;Joshua;m;1
9;Melina;w;1
9;Julius;m;1
9;Rosa;w;1
9;Luis;m;1
9;Rosalie;w;1
9;Mattis;m;1
9;Sarah;w;1
9;Nils;m;1
9;Stella;w;1
9;Robin;m;1
9;Tilda;w;1
8;Magdalena;w;2
8;Pauline;w;2
8;August;m;2
8;Daniel;m;2
8;Felix;m;2
8;Jan;m;2
8;Leon;m;2
8;Maxim;m;2
8;Michael;m;2
8;August;m;1
8;Amelia;w;1
8;Benjamin;m;1
8;Eva;w;1
8;Carl;m;1
8;Fiona;w;1
8;Enno;m;1
8;Hailey;w;1
8;Fabian;m;1
8;Isabella;w;1
8;Henri;m;1
8;Juna;w;1
8;Kevin;m;1
8;Klara;w;1
8;Luke;m;1
8;Lotte;w;1
8;Mateo;m;1
8;Lucy;w;1
8;Mats;m;1
8;Luisa;w;1
8;Tony;m;1
8;Olivia;w;1
8;Victoria;w;1
7;Amelie;w;2
7;Anna;w;2
7;Elisa;w;2
7;Eva;w;2
7;Helene;w;2
7;Martha;w;2
7;Mathilda;w;2
7;Leopold;m;2
7;Robert;m;2
7;Samuel;m;2
7;Valentin;m;2
7;William;m;2
7;Alex;m;1
7;Alfred;m;1
7;Ada;w;1
7;Charlie;m;1
7;Antonia;w;1
7;Fritz;m;1
7;Ava;w;1
7;Fynn;m;1
7;Finja;w;1
7;Jasper;m;1
7;Pia;w;1
7;Levin;m;1
7;Marlon;m;1
7;Phil;m;1
7;Samuel;m;1
7;Thore;m;1
7;Till;m;1
7;Toni;m;1
7;Wilhelm;m;1
6;Anh;w;3
6;Elisabeth;w;3
6;Louisa;w;2
6;Victoria;w;2
6;Viktoria;w;2
6;Albert;m;2
6;Christian;m;2
6;Henry;m;2
6;Mika;m;2
6;Noah;m;2
6;Ole;m;2
6;Oskar;m;2
6;Richard;m;2
6;Edda;w;1
6;Elise;w;1
6;Helene;w;1
6;Linda;w;1
6;Malina;w;1
6;Mariella;w;1
6;Marta;w;1
6;Martha;w;1
6;Bela;m;1
6;Minna;w;1
6;Erik;m;1
6;Nina;w;1
6;Frederik;m;1
6;Sofia;w;1
6;Friedrich;m;1
6;Theresa;w;1
6;Jannis;m;1
6;Valentina;w;1
6;Jayden;m;1
6;Viktoria;w;1
6;John;m;1
6;Leonardo;m;1
6;Ludwig;m;1
6;Luka;m;1
6;Mads;m;1
6;Matti;m;1
6;Muhammad;m;1
6;Nicolas;m;1
6;Oliver;m;1
6;Philipp;m;1
6;Timo;m;1
6;Tom;m;1
6;William;m;1
5;Clara;w;2
5;Isabella;w;2
5;Jolie;w;2
5;Liv;w;2
5;Lucia;w;2
5;Malou;w;2
5;Philine;w;2
5;Rosalie;w;2
5;Rose;w;2
5;Sofia;w;2
5;David;m;2
5;Theresa;w;2
5;Franz;m;2
5;Frederik;m;2
5;Joel;m;2
5;Jonas;m;2
5;Karl;m;2
5;Konstantin;m;2
5;Leonard;m;2
5;Linus;m;2
5;Matthias;m;2
5;Michel;m;2
5;Otto;m;2
5;Simon;m;2
5;Tim;m;2
5;Wilhelm;m;2
5;Amy;w;1
5;Annika;w;1
5;Aurora;w;1
5;Bella;w;1
5;Cleo;w;1
5;Hedda;w;1
5;Heidi;w;1
5;Isabell;w;1
5;Juno;w;1
5;Louisa;w;1
5;Malia;w;1
5;Milena;w;1
5;Miriam;w;1
5;Albert;m;1
5;Mona;w;1
5;Benedikt;m;1
5;Romy;w;1
5;Benno;m;1
5;Ruby;w;1
5;Carlo;m;1
5;Sara;w;1
5;Christian;m;1
5;Tabea;w;1
5;Dean;m;1
5;Vanessa;w;1
5;Eric;m;1
5;Wilma;w;1
5;Janne;m;1
5;Lasse;m;1
5;Leander;m;1
5;Malik;m;1
5;Malte;m;1
5;Nikita;m;1
5;Ole;m;1
5;Oscar;m;1
5;Otto;m;1
5;Raphael;m;1
5;Simon;m;1
5;Titus;m;1
4;An;m;3
