anzahl;vorname;geschlecht;position
21;Ali;m;1
21;Elias;m;1
19;Adam;m;1
18;Leon;m;1
17;Sophie;w;2
16;Marie;w;2
16;Mila;w;1
15;Maria;w;2
15;Ella;w;1
14;Charlotte;w;1
14;Mia;w;1
14;Milan;m;1
13;Alexander;m;2
13;Emilia;w;1
13;Liam;m;1
13;Lina;w;1
13;Miran;m;1
13;Noah;m;1
12;Ali;m;2
12;Liya;w;1
12;Maria;w;1
12;Mohamad;m;1
11;Emma;w;1
11;Mohammad;m;1
11;Mira;w;1
11;Nisa;w;1
11;Sara;w;1
10;Ahmad;m;1
10;Alexander;m;1
10;Amir;m;1
10;Anna;w;1
10;Louis;m;1
10;Elisa;w;1
10;Muhammed;m;1
10;Hannah;w;1
10;Yasin;m;1
10;Lara;w;1
10;Leonie;w;1
10;Lia;w;1
9;Ben;m;1
9;Finn;m;1
9;Ilyas;m;1
9;Alma;w;1
9;Joshua;m;1
9;Ela;w;1
9;Maya;w;1
9;Meryem;w;1
9;Sofia;w;1
8;Valentina;w;2
8;Anton;m;1
8;Aras;m;1
8;Daniel;m;1
8;Hamza;m;1
8;Elif;w;1
8;Leo;m;1
8;Lio;m;1
8;Malik;m;1
8;Moritz;m;1
8;Paul;m;1
7;David;m;2
7;Emil;m;2
7;Paul;m;2
7;Luisa;w;2
7;Clara;w;1
7;Elin;w;1
7;Fatima;w;1
7;Hanna;w;1
7;Klara;w;1
7;Adrian;m;1
7;Lena;w;1
7;David;m;1
7;Malina;w;1
7;Emil;m;1
7;Mara;w;1
7;Fynn;m;1
7;Mariam;w;1
7;Hussein;m;1
7;Marie;w;1
7;Karl;m;1
7;Melina;w;1
7;Matteo;m;1
7;Zeynep;w;1
7;Maximilian;m;1
7;Mika;m;1
7;Milo;m;1
7;Mohammed;m;1
7;Omar;m;1
7;Theo;m;1
7;Yunus;m;1
6;Joel;m;2
6;Elena;w;2
6;Liam;m;2
6;Elisabeth;w;2
6;Louis;m;2
6;Max;m;2
6;Valentin;m;2
6;Azra;w;1
6;Elena;w;1
6;Finja;w;1
6;Laura;w;1
6;Lilly;w;1
6;Ronja;w;1
6;Stella;w;1
6;Baran;m;1
6;Yasmin;w;1
6;Benjamin;m;1
6;Emir;m;1
6;Felix;m;1
6;Gabriel;m;1
6;Hassan;m;1
6;Henry;m;1
6;Ibrahim;m;1
6;Issa;m;1
6;Jonathan;m;1
6;Julian;m;1
6;Leonard;m;1
6;Levi;m;1
6;Linus;m;1
6;Lukas;m;1
6;Matheo;m;1
6;Oskar;m;1
5;Charlotte;w;2
5;Johanna;w;2
5;Katharina;w;2
5;Elias;m;2
5;Nur;w;2
5;Julius;m;2
5;Sofia;w;2
5;Peter;m;2
5;Antonia;w;1
5;Ayla;w;1
5;Emily;w;1
5;Jolina;w;1
5;Julia;w;1
5;Lea;w;1
5;Liana;w;1
5;Livia;w;1
5;Marlene;w;1
5;Nora;w;1
5;Olivia;w;1
5;Pauline;w;1
5;Sarah;w;1
5;Sena;w;1
5;Sophia;w;1
5;Zoey;w;1
5;Bruno;m;1
5;Deniz;m;1
5;Eymen;m;1
5;Jakob;m;1
5;Jonas;m;1
5;Karim;m;1
5;Lias;m;1
5;Luca;m;1
5;Lucas;m;1
5;Luis;m;1
5;Mehmet;m;1
5;Musa;m;1
5;Niklas;m;1
5;Vincent;m;1
5;Ömer;m;1
4;Sophie;w;3
4;Alina;w;2
4;Leander;m;2
4;Ela;w;2
4;Leon;m;2
4;Emilia;w;2
4;Matteo;m;2
4;Leni;w;2
4;Maximilian;m;2
4;Liya;w;2
4;Noah;m;2
4;Luise;w;2
4;Mia;w;2
4;Olivia;w;2
4;Sophia;w;2
4;Aaliyah;w;1
4;Alya;w;1
4;Amalia;w;1
4;Amelia;w;1
4;Amelie;w;1
4;Amira;w;1
4;Ariana;w;1
4;Asya;w;1
4;Celine;w;1
4;Elina;w;1
4;Eva;w;1
4;Evin;w;1
4;Frida;w;1
4;Helena;w;1
4;Lamis;w;1
4;Abbas;m;1
4;Layla;w;1
4;Abdullah;m;1
4;Leyla;w;1
4;Alessio;m;1
4;Lotta;w;1
4;Antonio;m;1
4;Luisa;w;1
4;Arthur;m;1
4;Malak;w;1
4;Dean;m;1
4;Mathilda;w;1
4;Erik;m;1
4;Melek;w;1
4;Florian;m;1
4;Merle;w;1
4;Hadi;m;1
4;Paula;w;1
4;Jibril;m;1
4;Romy;w;1
4;Jonah;m;1
4;Sophie;w;1
4;Khalil;m;1
4;Kuzey;m;1
4;Leonardo;m;1
4;Levin;m;1
4;Luan;m;1
4;Mahir;m;1
4;Malek;m;1
4;Max;m;1
4;Mert;m;1
4;Mohamed;m;1
4;Nils;m;1
4;Piet;m;1
4;Sam;m;1
4;Samuel;m;1
4;Theodor;m;1
4;Till;m;1
4;Tim;m;1
4;Valentin;m;1
4;Yiğit;m;1
4;Yousef;m;1
4;Yusuf;m;1
3;Elli;w;3
3;Can;m;2
3;Felix;m;2
3;Fridolin;m;2
3;Levi;m;2
3;Annabelle;w;2
3;Lio;m;2
3;Anni;w;2
3;Luca;m;2
3;Aurora;w;2
3;Malik;m;2
3;Clara;w;2
3;Mohamed;m;2
3;Eliza;w;2
3;Mohammad;m;2
3;Jasmin;w;2
3;Oliver;m;2
3;Lucia;w;2
3;Oskar;m;2
3;Naz;w;2
3;Philipp;m;2
3;Rose;w;2
3;Quang;m;2
3;Ruth;w;2
3;Samuel;m;2
3;Victoria;w;2
3;Sebastian;m;2
3;Sven;m;2
3;Theodor;m;2
3;Aleyna;w;1
3;Alina;w;1
3;Amar;w;1
3;Anastasia;w;1
3;Aurelia;w;1
3;Aurora;w;1
3;Cataleya;w;1
3;Defne;w;1
3;Dua;w;1
3;Eileen;w;1
3;Elsa;w;1
3;Esila;w;1
3;Fiona;w;1
3;Flora;w;1
3;Frieda;w;1
3;Hailey;w;1
3;Hana;w;1
3;Ida;w;1
3;Jana;w;1
3;Johanna;w;1
3;Josefine;w;1
3;Alan;m;1
3;Juliet;w;1
3;Ayaz;m;1
3;Juna;w;1
