anzahl;vorname;geschlecht;position
37;Sophie;w;2
28;Marie;w;2
25;Ben;m;1
23;Charlotte;w;1
22;Mia;w;1
21;Leon;m;1
20;Alexander;m;2
20;Mila;w;1
18;Elias;m;1
18;Finn;m;1
18;Emily;w;1
17;Liam;m;1
17;Maximilian;m;1
17;Paul;m;1
16;Maria;w;2
16;Adam;m;1
16;Emil;m;1
16;Oskar;m;1
15;Emma;w;1
15;Leonie;w;1
15;Jonas;m;1
15;Luca;m;1
14;Emilia;w;1
14;Felix;m;1
14;Noah;m;1
13;Johanna;w;1
13;Alexander;m;1
13;Daniel;m;1
13;Henry;m;1
13;Karl;m;1
12;Hannah;w;1
12;Theo;m;1
11;Maximilian;m;2
11;Elena;w;1
11;Laura;w;1
11;Lea;w;1
11;Nora;w;1
11;Sofia;w;1
11;Sophia;w;1
11;Sophie;w;1
10;Elisa;w;1
10;Ella;w;1
10;Lara;w;1
10;Lukas;m;1
10;Lia;w;1
10;Maja;w;1
9;Luca;m;2
9;Paul;m;2
9;Charlotte;w;2
9;Anton;m;1
9;Arthur;m;1
9;Anna;w;1
9;Benjamin;m;1
9;Clara;w;1
9;Edgar;m;1
9;Helena;w;1
9;Jakob;m;1
9;Lina;w;1
9;Joshua;m;1
9;Marlene;w;1
9;Linus;m;1
9;Mathilda;w;1
9;Louis;m;1
9;Melina;w;1
9;Max;m;1
9;Sara;w;1
8;Elias;m;2
8;Bruno;m;1
8;Alina;w;1
8;David;m;1
8;Eva;w;1
8;Julian;m;1
8;Luisa;w;1
8;Julius;m;1
8;Luise;w;1
8;Leo;m;1
8;Maria;w;1
8;Moritz;m;1
8;Marie;w;1
8;Theodor;m;1
8;Maya;w;1
8;Nele;w;1
8;Pia;w;1
7;Sophia;w;2
7;Fritz;m;2
7;Fritz;m;1
7;Jan;m;1
7;Mika;m;1
7;Elisabeth;w;1
7;Milan;m;1
7;Matilda;w;1
7;Milo;m;1
6;Lina;w;2
6;David;m;2
6;Luise;w;2
6;Friedrich;m;2
6;Michael;m;2
6;Valentin;m;2
6;Amalia;w;1
6;Matheo;m;1
6;Amelie;w;1
6;Matteo;m;1
6;Celina;w;1
6;Maxim;m;1
6;Frida;w;1
6;Tim;m;1
6;Lena;w;1
6;Vincent;m;1
6;Lucy;w;1
6;Paula;w;1
6;Paulina;w;1
6;Romy;w;1
6;Sarah;w;1
6;Tilda;w;1
5;Isabella;w;2
5;Johanna;w;2
5;Josephine;w;2
5;Aaron;m;2
5;Rose;w;2
5;Anton;m;2
5;Henry;m;2
5;Liam;m;2
5;Wilhelm;m;2
5;Aaron;m;1
5;Adrian;m;1
5;Amir;m;1
5;Charlie;m;1
5;Fabian;m;1
5;Frederik;m;1
5;Alexandra;w;1
5;Friedrich;m;1
5;Alma;w;1
5;Fynn;m;1
5;Amira;w;1
5;Ibrahim;m;1
5;Antonia;w;1
5;Jad;m;1
5;Carlotta;w;1
5;Leonard;m;1
5;Freya;w;1
5;Levi;m;1
5;Frieda;w;1
5;Lino;m;1
5;Hanna;w;1
5;Malte;m;1
5;Jasmin;w;1
5;Nico;m;1
5;Juna;w;1
5;Niklas;m;1
5;Klara;w;1
5;Oliver;m;1
5;Lilli;w;1
5;Philipp;m;1
5;Lilly;w;1
5;Piet;m;1
5;Lya;w;1
5;Rafael;m;1
5;Melissa;w;1
5;Simon;m;1
5;Rosalie;w;1
5;Till;m;1
5;Stella;w;1
5;Tom;m;1
4;Elisa;w;2
4;Fiona;w;2
